Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,116874912,1497.1849965426325,2785640,35.684462494132354,326990,2597381,33.27283671884091,60152,0.7705560617836649,6573,
United States of America,Americas,28700966,8670.92,406157,122.71,41486,521625,157.59,11980,3.62,874,Community transmission
India,South-East Asia,11244786,814.84,120259,8.71,15388,157930,11.44,682,0.05,77,Clusters of cases
Brazil,Americas,11019344,5184.12,468085,220.21,80508,265411,124.86,10469,4.93,1086,Community transmission
Russian Federation,Europe,4342474,2975.63,74259,50.89,9445,89809,61.54,2913,2,336,Clusters of cases
The United Kingdom,Europe,4223236,6221.07,41223,60.72,4712,124566,183.49,1613,2.38,65,Community transmission
France,Europe,3841709,5885.56,146585,224.57,5229,88457,135.52,2096,3.21,358,Community transmission
Spain,Europe,3160970,6760.74,29499,63.09,1161,71436,152.79,431,0.92,12,Community transmission
Italy,Europe,3081368,5096.39,142997,236.51,13882,100103,165.56,2158,3.57,318,Clusters of cases
Turkey,Europe,2793632,3312.38,82153,97.41,13215,29094,34.5,456,0.54,64,Community transmission
Germany,Europe,2509445,2995.14,58434,69.74,4252,72189,86.16,1726,2.06,255,Community transmission
Colombia,Americas,2276656,4474.31,24966,49.07,3411,60503,118.91,737,1.45,91,Community transmission
Argentina,Americas,2154694,4767.47,42671,94.41,5058,53121,117.54,1044,2.31,241,Community transmission
Mexico,Americas,2128600,1650.94,41662,32.31,2734,190604,147.83,4889,3.79,247,Community transmission
Poland,Europe,1811036,4785.2,91328,241.31,9953,45599,120.48,1591,4.2,282,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1698005,2021.6,58326,69.44,8313,60786,72.37,605,0.72,99,Community transmission
South Africa,Africa,1521706,2565.74,7747,13.06,638,50803,85.66,726,1.22,125,Community transmission
Ukraine,Europe,1410061,3224.19,52591,120.25,3261,27204,62.2,992,2.27,76,Community transmission
Indonesia,South-East Asia,1386556,506.92,51922,18.98,6894,37547,13.73,1381,0.5,281,Community transmission
Peru,Americas,1371176,4158.63,41371,125.47,6212,47854,145.14,1360,4.12,173,Community transmission
Czechia,Europe,1335815,12473.78,83573,780.4,10524,22147,206.81,1446,13.5,265,Community transmission
Netherlands,Europe,1123909,6559.19,31643,184.67,3924,15859,92.55,276,1.61,26,Community transmission
Canada,Americas,886574,2349.03,20071,53.18,2488,22239,58.92,245,0.65,26,Community transmission
Chile,Americas,860533,4501.59,30763,160.93,4748,21163,110.71,503,2.63,86,Community transmission
Romania,Europe,830563,4317.37,26473,137.61,2280,20963,108.97,560,2.91,63,Community transmission
Portugal,Europe,810459,7948.24,5503,53.97,365,16565,162.45,214,2.1,25,Clusters of cases
Israel,Europe,800218,9245.16,13892,160.5,0,5881,67.94,84,0.97,0,Community transmission
Belgium,Europe,789008,6807.88,12662,109.25,0,22292,192.34,138,1.19,0,Community transmission
Iraq,Eastern Mediterranean,731016,1817.43,31928,79.38,4468,13596,33.8,168,0.42,24,Community transmission
Sweden,Europe,684961,6782.29,18726,185.42,0,13003,128.75,19,0.19,0,Community transmission
Philippines,Western Pacific,597763,545.5,19382,17.69,3351,12521,11.43,199,0.18,5,Community transmission
Pakistan,Eastern Mediterranean,592100,268.05,10735,4.86,1592,13227,5.99,331,0.15,22,Community transmission
Switzerland,Europe,562364,6497.85,5915,68.34,4,9294,107.39,28,0.32,0,Community transmission
Bangladesh,South-East Asia,551175,334.68,4374,2.66,845,8476,5.15,60,0.04,14,Community transmission
Serbia,Europe,489530,7029.68,26802,384.88,4091,4579,65.75,120,1.72,17,Community transmission
Morocco,Eastern Mediterranean,486325,1317.58,2559,6.93,102,8683,23.52,46,0.12,1,Clusters of cases
Hungary,Europe,475207,4919.15,39518,409.07,6494,16146,167.14,958,9.92,158,Community transmission
Austria,Europe,473785,5260.54,17247,191.5,1965,8561,95.05,131,1.45,23,Community transmission
Japan,Western Pacific,440671,348.42,7167,5.67,679,8299,6.56,366,0.29,46,Clusters of cases
Jordan,Eastern Mediterranean,435130,4264.67,37972,372.16,7413,4987,48.88,260,2.55,52,Community transmission
United Arab Emirates,Eastern Mediterranean,413332,4179.12,19282,194.96,2483,1335,13.5,97,0.98,13,Community transmission
Lebanon,Eastern Mediterranean,395588,5795.78,18667,273.49,0,5046,73.93,303,4.44,0,Community transmission
Saudi Arabia,Eastern Mediterranean,380182,1092.04,2482,7.13,351,6534,18.77,34,0.1,6,Sporadic cases
Panama,Americas,344834,7991.95,3919,90.83,357,5923,137.27,78,1.81,13,Community transmission
Slovakia,Europe,323786,5930.54,12784,234.15,0,7921,145.08,533,9.76,0,Clusters of cases
Malaysia,Western Pacific,314989,973.21,12409,38.34,1529,1177,3.64,42,0.13,8,Clusters of cases
Belarus,Europe,296441,3137.17,8174,86.5,930,2047,21.66,62,0.66,9,Community transmission
Ecuador,Americas,294503,1669.23,8136,46.11,0,16039,90.91,207,1.17,0,Community transmission
Nepal,South-East Asia,274810,943.17,594,2.04,89,3011,10.33,234,0.8,1,Clusters of cases
Georgia,Europe,273137,6846.97,1758,44.07,139,3601,90.27,69,1.73,10,Community transmission
Kazakhstan,Europe,268902,1432.1,4724,25.16,0,3456,18.41,67,0.36,0,Clusters of cases
Bulgaria,Europe,263303,3789.38,13677,196.84,2995,10764,154.91,456,6.56,150,Clusters of cases
Bolivia (Plurinational State of),Americas,254273,2178.3,5263,45.09,323,11823,101.28,174,1.49,16,Community transmission
Croatia,Europe,247099,6019.07,3641,88.69,491,5621,136.92,73,1.78,12,Community transmission
Dominican Republic,Americas,243526,2244.91,3528,32.52,279,3179,29.31,73,0.67,7,Community transmission
Tunisia,Eastern Mediterranean,238017,2013.92,4348,36.79,313,8225,69.59,203,1.72,24,Community transmission
Azerbaijan,Europe,236963,2337.1,1949,19.22,0,3247,32.02,22,0.22,0,Clusters of cases
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,224906,4408.7,14833,290.76,2003,2387,46.79,112,2.2,22,Community transmission
Ireland,Europe,223651,4529.38,3378,68.41,432,4422,89.55,103,2.09,0,Community transmission
Denmark,Europe,215264,3716.44,3572,61.67,425,2381,41.11,16,0.28,2,Community transmission
Costa Rica,Americas,206640,4056.44,1734,34.04,0,2833,55.61,27,0.53,0,Community transmission
Greece,Europe,206281,1979.08,14011,134.42,0,6797,65.21,263,2.52,0,Community transmission
Lithuania,Europe,202900,7453.29,3075,112.96,470,3341,122.73,78,2.87,5,Community transmission
Kuwait,Eastern Mediterranean,201898,4727.66,9867,231.05,1326,1133,26.53,48,1.12,6,Community transmission
Slovenia,Europe,195681,9412.55,5357,257.68,210,4171,200.63,20,0.96,0,Clusters of cases
Republic of Moldova,Europe,195602,4848.88,9155,226.95,350,4129,102.36,154,3.82,18,Community transmission
Egypt,Eastern Mediterranean,187094,182.83,4084,3.99,591,11038,10.79,302,0.3,43,Clusters of cases
Guatemala,Americas,178770,997.85,4117,22.98,210,6479,36.16,77,0.43,6,Community transmission
Armenia,Europe,175198,5912.37,2742,92.53,182,3232,109.07,32,1.08,7,Community transmission
Honduras,Americas,173729,1754.02,3425,34.58,709,4260,43.01,109,1.1,13,Community transmission
Paraguay,Americas,168043,2356.01,8569,120.14,1074,3318,46.52,137,1.92,24,Community transmission
Qatar,Eastern Mediterranean,167417,5810.97,3280,113.85,468,263,9.13,4,0.14,1,Community transmission
Ethiopia,Africa,167133,145.38,7161,6.23,995,2442,2.12,69,0.06,13,Community transmission
Nigeria,Africa,158906,77.09,2889,1.4,400,1982,0.96,67,0.03,13,Community transmission
Oman,Eastern Mediterranean,144404,2827.78,2596,50.84,449,1594,31.21,17,0.33,3,Community transmission
Venezuela (Bolivarian Republic of),Americas,142338,500.56,3222,11.33,453,1384,4.87,40,0.14,6,Community transmission
Myanmar,South-East Asia,142045,261.07,129,0.24,11,3200,5.88,1,0,0,Clusters of cases
Libya,Eastern Mediterranean,139658,2032.49,5531,80.49,1018,2288,33.3,78,1.14,15,Community transmission
Bosnia and Herzegovina,Europe,137291,4184.66,4930,150.27,393,5297,161.45,181,5.52,38,Community transmission
Bahrain,Eastern Mediterranean,127255,7478.66,4216,247.77,653,473,27.8,21,1.23,1,Clusters of cases
Algeria,Africa,114382,260.84,1290,2.94,148,3018,6.88,35,0.08,5,Community transmission
Albania,Europe,113580,3946.77,5649,196.3,683,1956,67.97,140,4.86,17,Clusters of cases
Kenya,Africa,109164,203.02,3039,5.65,337,1879,3.49,20,0.04,3,Community transmission
North Macedonia,Europe,107479,5158.88,4459,214.03,316,3206,153.88,62,2.98,11,Community transmission
China,Western Pacific,102125,6.94,180,0.01,24,4848,0.33,3,0,0,Clusters of cases
Puerto Rico,Americas,101817,3558.97,1233,43.1,185,2065,72.18,28,0.98,3,Community transmission
Republic of Korea,Western Pacific,93263,181.91,2892,5.64,446,1645,3.21,39,0.08,3,Clusters of cases
Latvia,Europe,90525,4799.34,4067,215.62,194,1699,90.08,78,4.14,4,Community transmission
Kyrgyzstan,Europe,86606,1327.46,298,4.57,23,1475,22.61,8,0.12,2,Clusters of cases
Ghana,Africa,86465,278.26,2442,7.86,0,647,2.08,40,0.13,0,Community transmission
Sri Lanka,South-East Asia,86039,401.8,2487,11.61,344,507,2.37,31,0.14,5,Clusters of cases
Zambia,Africa,82655,449.6,3653,19.87,234,1132,6.16,34,0.18,8,Community transmission
Uzbekistan,Europe,80247,239.76,286,0.85,28,622,1.86,0,0,0,Clusters of cases
Montenegro,Europe,80186,12767.13,2687,427.82,0,1067,169.89,44,7.01,0,Clusters of cases
Estonia,Europe,77491,5841.61,9752,735.15,1308,669,50.43,64,4.82,2,Clusters of cases
Norway,Europe,74940,1382.34,3938,72.64,1447,632,11.66,9,0.17,0,Community transmission
Kosovo[1],Europe,73592,3955.75,3912,210.28,587,1645,88.42,47,2.53,6,Community transmission
Uruguay,Americas,63837,1837.71,5843,168.21,827,651,18.74,43,1.24,6,Community transmission
